genus,cultivar_name,trade_name,introduced_year,originator,patent_id,parentage,source_url,popularity_basis,verification_status,notes
Philodendron,Imperial Green,Imperial Green,1988 (patent publication; market-release year not separately verified),Paul DeCoster,USPP6086P,"Unknown; selected from random seedlings obtained from Bamboo Nursery, Apopka, Florida; parent species not identified in patent.",https://patents.google.com/patent/USPP6086P/en,Legacy commercial self-heading philodendron; patent family; nursery catalog presence.,verified patent; market release unknown,Do not treat patent publication as exact retail launch date.
Philodendron,Imperial Red,Imperial Red,1988 (patent publication; market-release year not separately verified),Paul DeCoster,USPP6337P,"Unknown; selected from random seedlings obtained from Bamboo Nursery, Apopka, Florida; parent species not identified in patent.",https://patents.google.com/patent/USPP6337P/en,Legacy commercial self-heading philodendron; parent of Rojo Congo.,verified patent; market release unknown,Important because it is named parent in Rojo Congo patent.
Philodendron,Prince of Orange,Prince of Orange / Orange Prince,1989 (patent publication; market-release year not separately verified),Howard N. Miller,USPP6797P,"Yellow-green seedling line 6634-14 × unnamed seedling with parentage including P. domesticum, P. erubescens, P. wendlandii, and P. imbe.",https://patents.google.com/patent/USPP6797P/en,Common retail cultivar; patent cited in plant-care and catalog sources.,verified patent; market release unknown,Explicitly excluded requested Philodendron cultivar from the dataset.
Philodendron,Black Cardinal,Black Cardinal,1984 (patent grant; market-release year not separately verified),Robert H. McColley / McColley family breeding line (exact originator in row needs patent-level review),USPP5355P,"Complex breeding line involving P. wendlandii, P. hastatum, P. erubescens, P. imbe, P. fragrantissimum, and an unnamed species per patent abstract/search record.",https://patents.google.com/patent/USPP5355P/en,Legacy dark-foliage philodendron; common collector and nursery cultivar.,patent located; row should be rechecked against full patent text,"Parentage summarized from patent search result, not fully transcribed."
Philodendron,Baron,Baron,1989 (patent publication; market-release year not separately verified),unknown,USPP6794P,unknown,https://patents.google.com/patent/USPP6794P/en,Legacy patented philodendron cultivar; used as target placeholder for full patent extraction.,patent located; details incomplete,Needs full patent review for originator and parentage.
Philodendron,Ruby,Ruby,1988 (patent publication; market-release year not separately verified),unknown,USPP6098P,unknown,https://patents.google.com/patent/USPP6098P/en,Legacy patented philodendron cultivar; used as target placeholder for full patent extraction.,patent located; details incomplete,Needs full patent review for originator and parentage.
Philodendron,Congo,Green Congo / Congo Green,2001 (patent grant; market-release year not separately verified),unknown,USPP11724P,"Self-pollination of an unidentified Philodendron tatei subsp. melanochlorum selection, made August 1993; selected April 1995.",https://patents.google.com/patent/USPP11724P/en,Oglesby commercial self-heading philodendron line; paired with Rojo Congo in commercial notes.,verified patent parentage; originator incomplete,Oglesby notes also list PAT#11724.
Philodendron,Rojo Congo,Rojo Congo / Red Congo / Congo Rojo,2003 (patent grant; selected 1996; asexually propagated since 1998),Marian W. Osiecki,USPP14116P3,Female parent Philodendron 'Imperial Red' × male parent unidentified Philodendron tatei subsp. melanochlorum selection.,https://patents.google.com/patent/USPP14116P3/en,Mass-market self-heading philodendron; parent/sport source for Birkin claims in commercial guides.,verified patent,"Patent expired, but legal status should be checked jurisdiction-by-jurisdiction."
Philodendron,Lemon Lime,Lemon Lime,2009 (patent grant; market-release year not separately verified),Tai Yam,USPP20757,unknown in collected source pass,https://patents.justia.com/patents-by-us-classification/PLT/381,Common bright foliage philodendron in retail and collector lists.,patent found in Justia class listing; parentage incomplete,Patent ID and inventor from Justia Philodendron patent class listing.
Philodendron,McColley's Finale,McColley's Finale,2001 (patent grant; market-release year not separately verified),Cora McColley,USPP12144P2,Unknown complex hybrid; patent states exact parentage unknown but resembles Prince of Orange and Black Cardinal in comparisons.,https://patents.google.com/patent/USPP12144P2/en,Collector/commercial philodendron; legacy patented McColley line.,verified patent,Patent expired per Google patent status in collected pass.
Philodendron,Summer Glory,Summer Glory,2022 (patent publication; market-release year not separately verified),unknown,USPP34347P2,Unnamed Philodendron hybrid female × unnamed P. gloriosum male; cross made August 2016; asexually reproduced August 2020.,https://patents.google.com/patent/USPP34347P2/en,Popular newer hybrid in aroid trade; patented hybrid with P. gloriosum background.,verified patent parentage; originator incomplete,Need originator/inventor normalization from full patent metadata.
Philodendron,Fire Moon,Fire Moon,2023 (patent publication; market-release year not separately verified),unknown,USPP35428P2,Accidental breeding/self-pollination of unidentified Philodendron 'Red Moon'; selected May 2021.,https://patents.google.com/patent/USPP35428P2/en,High-interest variegated/colored aroid trade cultivar.,verified patent parentage; originator incomplete,Patent active status should be confirmed before propagation/commercial use.
Philodendron,Variegated Sport #1,Variegated Sport #1,2005 (patent publication; market-release year not separately verified),unknown,USPP16150P2,"Naturally occurring whole-plant mutation of Philodendron 'Prince of Orange', found in Apopka, Florida in summer 2000.",https://patents.google.com/patent/USPP16150P2/en,Relevant sport of a top commercial cultivar; patent target.,verified patent parentage; originator incomplete,"Not necessarily a top consumer trade name, but legally relevant."
Philodendron,Birkin,Birkin,unknown,unknown,unknown,Believed/reported in commercial guide as a sport of Red Congo/Rojo Congo; not verified from an authority in this pass.,https://costafarms.com/blogs/plant-finder/philodendron,Extremely common big-box and collector cultivar; Costa describes it as a newer philodendron and likely sport.,commercial-source only; unverified origin,"Treat parentage as claim, not registry-level fact."
Philodendron,Golden Goddess,Golden Goddess,unknown,unknown,unknown,Commercial source reports Golden Goddess as a sport of Thai Sunrise.,https://costafarms.com/blogs/plant-finder/philodendron,Common retail neon/yellow philodendron cultivar.,commercial-source only,Needs IAS/RHS registry lookup.
Philodendron,Thai Sunrise,Thai Sunrise,unknown,unknown,unknown,unknown,https://costafarms.com/blogs/plant-finder/philodendron,Named in commercial guide as related to Golden Goddess; collector cultivar.,commercial-source only,Needs registry/patent search expansion.
Philodendron,White Knight,White Knight,unknown,unknown,unknown,unknown,https://costafarms.com/products/philodendron-white-knight,Hard-to-find variegated philodendron in commercial nursery listing.,commercial-source only,No patent found in collected pass.
Philodendron,Florida Ghost,Florida Ghost,2025 (commercial page date; true market release unknown),unknown,unknown,unknown,https://costafarms.com/blogs/plant-finder/florida-ghost-philodendron,Collector cultivar now appearing in commercial plant-finder/catalog sources.,commercial-source only,Commercial page date is not a formal introduction year.
Philodendron,White Wizard,White Wizard,unknown,unknown,unknown,unknown,https://www.realsimple.com/philodendron-varieties-7550278,Named in mainstream popular philodendron cultivar lists.,hobby/commercial-source only,Needs nursery/registry/patent expansion.
Philodendron,Ring of Fire,Ring of Fire,unknown,unknown,unknown,unknown,https://www.realsimple.com/philodendron-varieties-7550278,Named in mainstream popular philodendron cultivar lists.,hobby/commercial-source only,Needs nursery/registry/patent expansion.
Monstera,Thai Constellation,Thai Constellation,unknown; mass-market hype documented around early 2020s,unknown; associated with Thailand/tissue-culture trade in collected sources,none verified; Costa Farms says Thai Constellation will not be patented,Believed naturally occurring mutation of M. deliciosa; commonly propagated by tissue culture.,https://costafarms.com/blogs/get-growing/about-plant-patents,One of the best-known variegated Monstera cultivars in mass-market and collector channels.,commercial-source; patent-negative claim verified by Costa statement,Contradictory web claims exist; Costa patent page used over low-quality sources.
Monstera,Albo Borsigiana,Albo / Albo Variegata,unknown,unknown,unknown,unknown variegated selection/sport; source only verifies presence in variegated Monstera trade list.,https://www.thespruce.com/variegated-monstera-varieties-5323448,Core high-demand variegated Monstera trade cultivar.,hobbyist/commercial-source only,Needs non-wild horticultural registry confirmation.
Monstera,Aurea,Aurea / Yellow Variegata,unknown,unknown,unknown,unknown variegated selection/sport; source only verifies presence in variegated Monstera trade list.,https://www.thespruce.com/variegated-monstera-varieties-5323448,Common named variegated Monstera target among collectors.,hobbyist/commercial-source only,Needs patent/authority verification.
Monstera,Mint,Mint Monstera,unknown,unknown,unknown,unknown variegated selection/sport; source only verifies presence in variegated Monstera trade list.,https://www.thespruce.com/variegated-monstera-varieties-5323448,High-demand variegated collector Monstera target.,hobbyist/commercial-source only,Needs patent/authority verification.
Monstera,Variegata,Monstera Variegata,unknown,unknown,unknown,unknown variegated selection/sport; source only verifies presence in variegated Monstera trade list.,https://www.thespruce.com/variegated-monstera-varieties-5323448,Generic/common variegated Monstera trade label.,hobbyist/commercial-source only,Name is broad and unstable; needs de-duplication against Albo/Aurea/Mint labels.
Monstera,HUTAMT41,Vietciosa,2024 (patent publication/grant cycle; market-release year unknown),unknown,USPP36063P2,"Induced whole-plant mutation of unnamed M. deliciosa using EMS; tissue-culture origin in Hanoi, Vietnam, spring 2019.",https://patents.google.com/patent/USPP36063P2/en,Recent patented variegated Monstera target; trade name appears in patent/title sources.,verified patent parentage; originator incomplete,Legally important even if less common than Thai/Albo.
Monstera,Sumi1,unknown,2024 (patent grant; market-release year unknown),unknown,PP35706,"Induced whole-plant mutation of Monstera deliciosa 'Thai Constellation' in a tissue-culture lab in Nong Sam Wang, Pathum Thani, Thailand.",https://patents.justia.com/patent/PP35706,Recent patent directly derived from Thai Constellation; legal/propagation relevance.,verified patent parentage; originator incomplete,Trade name not captured in source pass.
Epipremnum,NJOY,N'Joy / NJOY,2009 (patent grant; market-release year not separately verified),Ashish Hansoti,USPP19965P2,Naturally occurring branch mutation of Epipremnum 'Marble Queen'.,https://patents.google.com/patent/USPP19965P2/en,Top mass-market pothos cultivar; patent and nursery references.,verified patent,Often sold under stylized N'Joy spelling.
Epipremnum,UFM12,Pearls and Jade®,2009/2010 (release/licensing and patent cycle; exact retail introduction varies by source),University of Florida,USPP21217P2,Gamma-irradiated cuttings of Epipremnum 'Marble Queen'.,https://patents.google.com/patent/USPP21217P2/en,Top mass-market patented pothos; Costa/UF references.,verified patent; commercial release timing partly inferred,"Costa lists PP21,217; UF sources describe licensed propagation/distribution."
Epipremnum,HANSOTI14,Manjula,2016 (patent grant; market-release year not separately verified),Ashish Hansoti,USPP27117P3,"Naturally occurring branch mutation of proprietary Epipremnum pinnatum 'Compacta' selection, discovered near Mumbai, India in 2010.",https://patents.google.com/patent/USPP27117P3/en,Top variegated pothos cultivar; Costa patent list.,verified patent,Costa lists Manjula Pothos as patented by Ashish Hansoti.
Epipremnum,Global Green,Global Green Pothos,2021 (patent grant; market-release year not separately verified),Hiroaki Asaoka,USPP33530P2,unknown in collected source pass,https://costafarms.com/pages/patents,Mass-market Costa pothos release; patented and widely marketed.,patent/source verified; parentage incomplete,Costa lists exclusive North American propagation rights.
Epipremnum,CF-MKR-EA1,unknown,2024/2025 (patent cycle; market-release year unknown),Hiroaki Asaoka,PP36293P2,unknown in collected source pass,https://costafarms.com/pages/patents,Recent Costa-listed patented Epipremnum target.,patent/source verified; trade name incomplete,Likely needs crosswalk to commercial release name.
Epipremnum,Marble Queen,Marble Queen Pothos,unknown,unknown,unknown,unknown; verified as parent/source cultivar for NJOY and Pearls and Jade in patent/commercial records.,https://costafarms.com/blogs/plant-finder/pothos,Foundational popular pothos cultivar; parent of multiple patented sports.,commercial-source/patent-parent reference; origin unknown,Not patented in collected pass.
